Updated Species Name (from Wilson & Reeder Mammal Species of the World)	Species Name (from original article)	Order	Brain Volume	Brain Volume Standard Deviation	Brain Mass (g)	Brain Mass Standard Deviation	Body Mass (g)	Body Mass Standard Deviation	Sex	No. Individuals	Age Class	Source	Notes
Capra hircus	Capra hircus	Cetartiodactyla			45		NA		NA	1	Newborn	Warncke 1908	
Capricornis crispus	Capricornis crispus	Cetartiodactyla			0.4	0.1	32900	5700	M&F	59	Adult	Honda et al 1987	
Capricornis crispus	Capricornis crispus	Cetartiodactyla			5.3	0.3	121	117	M&F	13	Fetus	Honda et al 1987	
Capricornis crispus	Capricornis crispus	Cetartiodactyla			1.8	0.2	19500	5300	M&F	12	Juvenile	Honda et al 1987	
Capricornis crispus	Capricornis crispus	Cetartiodactyla			0.5	0.1	27200	4700	M&F	6	Juvenile	Honda et al 1987	
Capromys pilorides	Capromys pilorides	Rodentia			4.5		155		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Caracal caracal	Caracal caracal	Carnivora			51.9		7670		NA	1	Not Adult	Warncke 1908	
Carollia perspicillata	Carollia perspicillata	Chiroptera			0.47		16		NA	41	Adult	Pirlot & Stephan 1970	
Casinycteris argynnis	Casinycteris argynnis	Chiroptera			0.92		40.5		NA	1	Adult	Pirlot & Stephan 1970	
Castor canadensis	Castor canadensis	Rodentia			52.21		27670		M&F	2	Adult	Crile & Quiring 1940	
Castor canadensis	Castor canadensis	Rodentia			25.48		4180		M	1	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Castor canadensis	Castor canadensis	Rodentia			29.52		5830		F	1	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Castor canadensis	Castor canadensis	Rodentia			36.5		17600		NA	1	Adult	Glendenning 1998	
Cavia aperea	Cavia operea	Rodentia			5.27		524.9		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Cavia aperea	Cavia aperea	Rodentia			2.8		88		NA	1	Adult	Warncke 1908	Age class estimated from body mass
Cavia porcellus	Cavia porcellus	Rodentia			4.54		675		NA	NA	Not Adult	Count 1947 (Brummelkamp 1939b) 	Age class estimated from body mass
Cavia porcellus	Cavia cobaya	Rodentia			4.73		700		NA	NA	Not Adult	Count 1947 (Brummelkamp 1939b) 	Age class estimated from body mass
Cavia porcellus	Cavia cutleri	Rodentia			4		432		F	10	Adult	Crile & Quiring 1940	Age class estimated from body mass
Cavia porcellus	Cavia cutleri	Rodentia			3.8		324		F	2	Subadult	Crile & Quiring 1940	
Cavia porcellus	Cavia cutleri	Rodentia			4.1		361		M	2	Subadult	Crile & Quiring 1940	
Cavia porcellus	Cavia cutleri	Rodentia			3.28		214.57		M	46	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Cavia porcellus	Cavia cutleri	Rodentia			3.32		214.94		F	56	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Cavia porcellus	Cavia cutleri	Rodentia			4.23		456		M	10	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Cavia porcellus	Cavia porcellus	Rodentia			4.6		415		NA	1	Adult	Glendenning 1998	
Cavia porcellus	Cavia porcellus	Rodentia			4.0062	0.0184	649.44	5.4	M	100	Subadult	Latimer 1950	
Cavia porcellus	Cavia porcellus	Rodentia			6.4		348		NA	1	Adult	Warncke 1908	
Cavia porcellus	Cavia porcellus	Rodentia			4.1		648		NA	1	Adult	Warncke 1908	
Cavia porcellus	Cavia porcellus	Rodentia			3.8		493.1		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Cavia porcellus	Cavia porcellus	Rodentia			2.9		106.5		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Cebus albifrons	Cebus albifrons	Primates			60.7	5.9	1470	300	F	21	Adult	Bronson 1981	
Cebus albifrons	Cebus albifrons	Primates			65.2	8.9	1770	640	M	45	Adult	Bronson 1981	
Cebus albifrons	Cebus albifrons	Primates	57		59.052		NA		NA	1	NA	Haug 1987	
Cebus albifrons	Cebus albifrons	Primates			58		675		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Cebus apella	Cebus apella	Primates			62.6	6.4	1810	260	F	10	Adult	Bronson 1981	
Cebus apella	Cebus apella	Primates			70.8	6.2	2770	650	M	7	Adult	Bronson 1981	
Cebus apella	Cebus fatuellus	Primates			60.2		1070		M	1	Juvenile	Hrdlicka 1925	Body was emaciated
Cebus apella	Cebus apella	Primates	66.5	5.3	68.894	5.4908	3200	500	M&F	4	Adult	Rilling 1999	"2 males, 2 females; Age class estimated from body mass"
Cebus apella	Cebus apella	Primates			91.2		NA		M	1	Juvenile	Sherwood data/this study	Estimated age of species: 4.75 yrs
Cebus apella	Cebus subcristatus	Primates			71		902		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Cebus apella	Cebus capillatus	Primates			69		1370		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Cebus apella	Cebus capillatus	Primates			77		1660		NA	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Cebus apella	Cebus capillatus	Primates			67		NA		NA	1	NA	Spitzka 1903	
Cebus apella	Cebus lunatus	Primates			57.7		2645		NA	1	Adult	Warncke 1908	Age class estimated from body mass
Cebus apella	Cebus lunatus	Primates			96.5		2520		NA	1	Adult	Warncke 1908	
Cebus apella	Cebus apella	Primates			66.5		NA		NA	1	NA	Warncke 1908	
Cebus capucinus	Cebus capucinus linnaeus	Primates			72.18		3101		M&F	14	Adult	Crile & Quiring 1940	
Cebus capucinus	Cebus capucinus linnaeus	Primates			71.6		2718		F	4	Adult	Crile & Quiring 1940	Age class estimated from body mass
Cebus capucinus	Cebus capucinus linnaeus	Primates			73.3		3833		M	5	Adult	Crile & Quiring 1940	Age class estimated from body mass
Cebus capucinus	Cebus capucinus linnaeus	Primates			53.28		590		M&F	27	Infant	Crile & Quiring 1940	
Cebus capucinus	Cebus capucinus linnaeus	Primates			60.8		1252		F	6	Juvenile	Crile & Quiring 1940	
Cebus capucinus	Cebus capucinus linnaeus	Primates			66		1317		M&F	6	Juvenile	Crile & Quiring 1940	
Cebus capucinus	Cebus capucinus linnaeus	Primates			75.5		1725		M	7	Juvenile	Crile & Quiring 1940	
Cebus capucinus	Cebus hypoleucus	Primates			66		930		M	1	Adult	Hrdlicka 1925	Body was emaciated
Cebus capucinus	Cebus hypoleucus	Primates			75		1021		M	1	Adult	Hrdlicka 1925	Body was emaciated
Cebus capucinus	Cebus hypoleucus	Primates			68		1126		M	1	Adult	Hrdlicka 1925	
Cebus capucinus	Cebus hypoleucus	Primates			65		1247		F	1	Adult	Hrdlicka 1925	
Cebus capucinus	Cebus hypoleucus	Primates			74		1250		M	1	Adult	Hrdlicka 1925	
Cebus capucinus	Cebus hypoleucus	Primates			72		1750		F	1	Adult	Hrdlicka 1925	
Cebus capucinus	Cebus hypoleucus	Primates			65		1814		F	1	Adult	Hrdlicka 1925	
Cebus capucinus	Cebus hypoleucus	Primates			59.9		717		F	1	Juvenile	Hrdlicka 1925	Body was emaciated
Cebus capucinus	Cebus hypoleucus	Primates			56		940		F	1	Juvenile	Hrdlicka 1925	Body was emaciated
Cebus capucinus	Cebus hypoleucus	Primates			47		1001		NA	1	Juvenile	Hrdlicka 1925	
Cebus capucinus	Cebus hypoleucus	Primates			58.5		1073		M	1	Juvenile	Hrdlicka 1925	Body was emaciated
Cebus capucinus	Cebus capuchinus	Primates			60.4		1117		M	1	Juvenile	Hrdlicka 1925	Body was emaciated
Cebus capucinus	Cebus hypoleucus	Primates			61		1134		M	1	Juvenile	Hrdlicka 1925	Body was emaciated
Cebus capucinus	Cebus capuchinus	Primates			69		1205		M	1	Juvenile	Hrdlicka 1925	Body was emaciated
Cebus capucinus	Cebus hypoleucus	Primates			50		504		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Cebus capucinus	Cebus hypoleucus	Primates			54		585		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Cebus capucinus	Cebus hypoleucus	Primates			59		672		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Cebus capucinus	Cebus capucinus	Primates			76		1083		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Cebus capucinus	Cebus capucinus	Primates			58		1119		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Cebus capucinus	Cebus capucinus	Primates			68		1223		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Cebus capucinus	Cebus capucinus	Primates			70		1812		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Cebus capucinus	Cebus capucinus	Primates			79		2030		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Cebus capucinus	Cebus capucinus	Primates			61		1920		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Cebus capucinus	Cebus capucinus	Primates			63.7		963.7		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Cebus nigritus	Cebus xantocephalus	Primates			56.5		1660		NA	1	Juvenile	Warncke 1908	
Cebus nigritus	Cebus xantocephalus	Primates			48.8		668		NA	1	Juvenile	Warncke 1908	
Cebus olivaceus	Cebus annellatus	Primates			69		1490		M	1	NA	Spitzka 1903	Body weight without intestines
Cebus olivaceus	Cebus olivaceus	Primates			72.5		2684.5		NA	1	Adult	Warncke 1908	Body mass averaged from Rowe 1996
Cebus olivaceus	Cebus olivaceus	Primates			56		626		NA	1	Juvenile	Warncke 1908	
Cebus sp.	Cebus sp.	Primates			71		3100		NA	2	NA	Stephan 1981	
Cebus sp. 	Cebus cabalucus	Primates			51.5		870		F	1	NA	Hrdlicka 1925	Body was emaciated
Centetes ecaudatus	Centetes ecaudatus	Afrosoricida			3.1		982		NA	1	Adult	Warncke 1908	Age class estimated from body mass
Centetes ecaudatus	Centetes ecaudatus	Afrosoricida			2.8		345		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Cercartetus caudatus	Cercartetus caudatus	Diprotodontia	0.71	0.12	0.73556		19.3	5.6	NA	11	Not Adult	Ashwell 2007	Age class estimated from body mass
Cercartetus concinnus	Cercartetus concinnus	Diprotodontia	0.3	0.01	0.3108		9.5	0.9	NA	3	Adult	Ashwell 2007	Age class estimated from body mass
Cercartetus lepidus	Cercartetus lepidus	Diprotodontia	0.36	0.02	0.37296		7.8	2.4	NA	3	Adult	Ashwell 2007	Age class estimated from body mass
Cercartetus nanus	Cercartetus nanus	Diprotodontia	0.43	0.07	0.44548		12	5.3	NA	3	NA	Ashwell 2007	Age class estimated from body mass
Cercocebus agilis	Cercocebus agilis	Primates			95.3		4700		F	1	Adult	Sherwood data/this study	"Estimated age of species: 19 y, 3m; Body mass averaged from Rowe 1996"
Cercocebus atys	Cercocebus fuliginosus	Primates			105		3175		F	1	Adult	Hrdlicka 1925	Body was emaciated
Cercocebus atys	Cercocebus fuliginosus	Primates			112		3629		M	1	Adult	Hrdlicka 1925	
Cercocebus atys	Cercocebus fuliginosus	Primates			108		3856		M	1	Adult	Hrdlicka 1925	
Cercocebus atys	Cercocebus fuliginosus	Primates			95		4649		M	1	Juvenile	Hrdlicka 1925	
Cercocebus atys	Cercocebus atys	Primates	99.2	2.2	102.7712	2.2792	10500	1100	M&F	3	NA	Rilling 1999	"2 males, 1 female"
Cercocebus atys	Cercocebus fuliginosus	Primates			91		1353		M	1	Not Adult	Spitzka 1903	
Cercocebus atys	Cercocebus fuliginosus	Primates			105		1398		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Cercocebus atys	Cercocebus fuliginosus	Primates			97		NA		M	1	NA	Spitzka 1903	
Cercocebus atys	Cercocebus fuliginosus	Primates			103		3090		NA	1	Adult	Warncke 1908	
Cercocebus atys	Cercocebus fuliginosus	Primates			130.5		NA		NA	1	Adult	Warncke 1908	
Cercocebus atys	Cercocebus fuliginosus	Primates			101.8		NA		NA	1	Adult	Warncke 1908	
Cercocebus atys	Cercocebus fuliginosus	Primates			100		2250		NA	1	Adult	Warncke 1908	
Cercocebus atys	Cercocebus fuliginosus	Primates			92.6		7735		NA	1	Adult	Warncke 1908	
Cercocebus atys	Cercocebus fuliginosus	Primates			85		2815		NA	1	Adult	Warncke 1908	
Cercopithecus albogularis	Mona albigularis	Primates			62		860		NA	1	Juvenile	Warncke 1908	
Cercopithecus ascanius	Cercopithecus ascan.	Primates			67		3400		NA	NA	Not Adult	Stephan 1981	Age class estimated from body mass
Cercopithecus cephus	Cercopithecus cephus	Primates			57.5		1915		M	1	Adult	Hrdlicka 1925	Body was emaciated
Cercopithecus cephus	Rhinostictus cephus	Primates			76		3508.333333		NA	1	Adult	Warncke 1908	Body mass averaged from Silva & Downing 1995
Cercopithecus kandti	Cercopithecus kandti	Primates			71.6		7350		M	1	adult	Sherwood data/this study	Body mass averaged from Rowe 1996
Cercopithecus mitis	Cercopithecus mitis	Primates			75		6300		NA	1	Adult	Stephan 1981	Age class estimated from body mass
Cercopithecus mona	Cercopithecus mona	Primates			67		3001		M	1	Adult	Spitzka 1903	Age class estimated from body mass
Cercopithecus mona	Cercopithecus mona	Primates			61		NA		F	1	NA	Spitzka 1903	
Cercopithecus mona	Mona Mona	Primates			53		2109.7		NA	1	Juvenile	Warncke 1908	
Cercopithecus nictitans	Rhinostictus nictitans	Primates			75		3440		NA	1	Juvenile	Warncke 1908	
Cercopithecus nictitans	Rhinostictus nictitans	Primates			57.1		1835		NA	1	Juvenile	Warncke 1908	
Cercopithecus sp.	Cercopithecus mitis kibonotensis	Primates			50.3		1220		F	1	Not Adult	Crile & Quiring 1940	
Cercopithecus sp.	Cercopithecus mitis kibonotensis	Primates			61.46		2900		M	2	NA	Crile & Quiring 1940	
Cercopithecus sp.	Cercopithecus mitis kibonotensis	Primates			66.6		4550		M	1	NA	Crile & Quiring 1940	
Cercopithecus sp.	Cercopithecus	Primates			60.7		4937		M	2	NA	Crile & Quiring 1940	
Cercopithecus sp.	Cercopithecus aethiops centralis	Primates			50.3		1225		F	1	Juvenile	Crile & Quiring 1940	
Cercopithecus sp.	Cercopithecus aethiops centralis	Primates			60.89		3955		M	4	NA	Crile & Quiring 1940	
Cercopithecus sp.	Cercopithecus 	Primates			62		1502		M	1	NA	Spitzka 1903	
Cercopithecus sp.	Cercopithecus talap.	Primates			40		1200		NA	2	NA	Stephan 1981	
Cercopithecus sp. 	Cercopithecus talapoin	Primates	36		37.296		NA		NA	1	NA	Haug 1987	
Ceropithecus sp.	Ceropithecus rufoviridis	Primates			51		2050		NA	1	NA	Warncke 1908	
Ceropithecus sp.	Ceropithecus sp.	Primates			53.8		1040		NA	1	Juvenile	Warncke 1908	
Cervus elaphus	Cervus canadensis	Cetartiodactyla			194.2		13610		M	1	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Cervus elaphus	Cervus canadensis	Cetartiodactyla			409.3		200000		NA	1	Adult	Warncke 1908	
Chaerephon pumilus	Chaerophon limbatus	Chiroptera			0.29		13.3		NA	4	Adult	Pirlot & Stephan 1970	
Chaeropus ecaudatus	Chaeropus ecaudatus	Peramelemorphia	2.4		2.4864		327		NA	1	NA	Ashwell 2007	
Chaetodipus baileyi	Chaetodipus baileyi	Rodentia	0.65	0.03	0.6734	0.03108	31.2	5.4	M	10	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Chaetodipus baileyi	Perognathus baileyi	Rodentia			0.73		28.3		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Chaetodipus californicus	Chaetodipus californicus	Rodentia	0.6	0.03	0.6216	0.03108	26	2	M	10	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Chaetodipus fallax	Chaetodipus fallax	Rodentia	0.52	0.06	0.53872	0.06216	20.3	1.8	M	9	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Chaetodipus formosus	Chaetodipus formosus	Rodentia	0.43	0.02	0.44548	0.02072	15.3	2.5	M	10	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Chaetodipus formosus	Perognathus formosus	Rodentia			0.54		20.9		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Chaetodipus hispidus	Chaetodipus hispidus	Rodentia	0.66	0.06	0.68376	0.06216	35.2	9	M	10	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Chaetodipus hispidus	Perognathus hispidus	Rodentia			0.68		39		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Chaetodipus penicillatus	Chaetodipus penicillatus	Rodentia	0.44	0.03	0.45584	0.03108	16.5	2	M	10	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Chaetodipus penicillatus	Perognathus pencillatus	Rodentia			0.47		16		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Chaetodipus spinatus	Chaetodipus spinatus	Rodentia	0.46	0.03	0.47656	0.03108	19.1	2.7	M	8	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Cheirogaleus major	Cheirogaleus major	Primates			6.8		450		NA	2	Adult	Stephan 1981	
Cheirogaleus medius	Cheirogaleus medius	Primates			3.3		181		M	1	Adult	Sherwood data/this study	"Estimated age of species: 13y, 7m; Body mass average from Silva & Downing 1995"
Cheirogaleus medius	Cheirogaleus medius	Primates			3.6		181		F	1	Adult	Sherwood data/this study	"Estimated age of species:14 y, 2 m; Body mass averaged from Silva & Downing 1995"
Cheirogaleus medius	Cheirogaleus medius	Primates			3.14		177		NA	2	Adult	Stephan 1981	Age class estimated from body mass
Chiropodomys gliroides	Chiropodomys gliroides	Rodentia			0.7		25.3		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Chiropotes satanas	Pithecia satanas	Primates			40.7		490		NA	1	Juvenile	Warncke 1908	
Chlorocebus aethiops	Cercopithecus aethiops	Primates			66.1	8.9	3220	550	F	6	Adult	Bronson 1981	
Chlorocebus aethiops	Cercopithecus aethiops	Primates			66.3	5.6	5230	1020	M	10	Adult	Bronson 1981	
Chlorocebus aethiops	Cercopithecus aethiops	Primates			36.54		1370		NA	1	Adult	Glendenning 1998	
Chlorocebus aethiops	Cercopithecus aethiops	Primates			0		NA		NA	1	NA	Haug 1987	
Chlorocebus aethiops	Cercopithecus griseo-viridis	Primates			72		3202		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Chlorocebus aethiops	Cercopithecus griseoviridis	Primates			60		1908		NA	1	Adult	Warncke 1908	
Chlorocebus cynosuros	Chlorocebus cynosurus	Primates			68.5		3880		M	1	NA	Spitzka 1903	
Chlorocebus cynosuros	Cercopithecus cynosurus	Primates			72		2920		NA	1	Adult	Warncke 1908	
Chlorocebus sabaeus	Cercopithecus calitrichus?	Primates			59.85		3062		F	1	Adult	Hrdlicka 1925	
Chlorocebus sabaeus	Cercopithecus calitrichus?	Primates			71.9		3630		M	1	Adult	Hrdlicka 1925	
Chlorocebus sabaeus	Cercopithecus calitrichus?	Primates			80		4082		M	1	Adult	Hrdlicka 1925	
Chlorocebus sabaeus	Cercopithecus calitrichus?	Primates			60.1		1314		M	1	Juvenile	Hrdlicka 1925	
Chlorocebus sabaeus	Cercopithecus callitrichus	Primates			59		845		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Chlorocebus sabaeus	Cercopithecus callitrichus	Primates			64		1679		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Chlorocebus sabaeus	Cercopithecus callitrichus	Primates			54		2140		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Chlorocebus sabaeus	Cercopithecus callitrichus	Primates			57		2898		M	1	NA	Spitzka 1903	
Chlorocebus sabaeus	Cercopithecus callitrichus	Primates			64		3159		M	1	NA	Spitzka 1903	
Chlorocebus sabaeus	Chlorocebus sabaeus	Primates			50		1036		F	1	Juvenile	Spitzka 1903	
Chlorocebus sabaeus	Chlorocebus sabaeus	Primates			71		1480		NA	1	Juvenile	Spitzka 1903	
Chlorocebus sabaeus	Cercopithecus calitrichus	Primates			81.5		3000		NA	1	Adult	Warncke 1908	
Chlorocebus sabaeus	Ceropithecus sabaeus	Primates			74.8		1440		NA	1	Adult	Warncke 1908	Emaciated
Choloepus didactylus	Choloepus didactylus	Xenarthra			28.2		5070		F		Adult	Sherwood data/this study	Estimated age of species:>8 y; Body mass estimated from Silva & Downing 1995
Choloepus didactylus	Choloepus didactylus	Xenarthra			36		NA		F		Not Adult	Sherwood data/this study	Estimated age of species: >2y; Body mass estimated from Silva & Downing 1995
Choloepus hoffmanni	Choloepus hoffmanni	Xenarthra			23.07		4825		M&F	7	Adult	Crile & Quiring 1940	
Choloepus hoffmanni	Choloepus hoffmanni	Xenarthra			26		5271		F	1	Adult	Crile & Quiring 1940	
Chrysochloris asiatica	Chrysochloris asiatica	Afrosoricida			0.7		49		NA	1	Adult	Stephan 1981	Age class estimated from body mass
Chrysochloris stuhlmanni	Chrysachloris stuhlmanni	Afrosoricida			1.37		60.3		M&F	NA	Adult	Mace 1981	
Chrysochloris stuhlmanni	Chlorotalpa stuhlmanni	Afrosoricida			0.74		39.8		NA	2	Adult	Stephan 1981	Age class estimated from body mass
Colobus angolensis	Colobus angolensis	Primates			74.4		9670		M	1	Adult	Sherwood data/this study	Estimated age of species: 18; Body mass estimated from Rowe 1995
Colobus guereza	Colobus guereza	Primates			83.9		10281.25		F	1	Adult	Sherwood data/this study	"Estimated age of species: 15 y, 9 m; Body mass estimated from Silva & Downing 1995"
Colobus sp.	Colobus	Primates			81.2		7850		NA	1	NA	Armstrong 1985	
Condylura cristata	Condylura cristata	Eulipotyphla			1.37		50		M&F	NA	Adult	Mace 1981	
Conepatus leuconotus	Conepatus mesoleucus	Carnivora			15.5		NA		M	2	NA	Crile & Quiring 1940	
Conepatus leuconotus	Conepatus mesoleucus	Carnivora			16		NA		F	1	NA	Crile & Quiring 1940	
Connochaetes taurinus	Gorgon albojubatus albojubatus	Cetartiodactyla			443		212230		M	2	Adult	Quiring 1938	Age class estimated from body mass
Cratogeomys gymnurus	Pappogeomys gymnurus	Rodentia	4.04	0.36	4.18544	0.37296	637	92.9	M	8	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Cricetomys gambianus	Cricetomys gambianus	Rodentia			6.57		1150		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Cricetulus barabensis	Cricetulus griseus	Rodentia			0.628		23.18		NA	NA	NA	Count 1947 (Brummelkamp 1939b) 	
